id,label,book_id,book_title,book_type,page,num_images,image_labels,image_iiif
dcffcc26-05c9-47eb-8bb7-e1adf4812a38/pp-370-371-insertion-a-verso,Martin Heidegger. Being and Time. pp. 370-371 Insertion A,https://derridas-margins.princeton.edu/titles/99/,Being and Time,Book,pp. 370-371,2,verso;recto,"https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1962/gallery/images/pp-370-371-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/heidegger-sein-und-zeit-1962/gallery/images/pp-370-371-insertion-a-recto/iiif/full/500,/0/default.jpg"
111f41c5-bc8e-4b96-b59a-74297eb4e9ab/pp-68-69-insertion-a-recto,"Derrida, Jacques. L'Origine de la géométrie. pp. 68-69 Insertion A",https://derridas-margins.princeton.edu/titles/96/,L'origine de la géométrie,Book,pp. 68-69,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/pp-68-69-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-der-ursprung-der-geometrie-als-intentional-historisches-problem-1962-B/gallery/images/pp-68-69-insertion-a-verso/iiif/full/500,/0/default.jpg"
80d16b0c-9520-48d9-91b0-dabfc5aa8f65/pp-inside-front-cover-title-page-recto-insertion-f-verso,"Philosophical writings of Peirce,. pp. Inside Front Cover-Title Page recto Insertion F",https://derridas-margins.princeton.edu/titles/217/,The Philosophical Writings of Peirce,Book,pp. Inside Front Cover-Title Page recto,2,verso;recto,"https://derridas-margins.princeton.edu/library/peirce-the-philosophical-writings-of-peirce-1955/gallery/images/pp-inside-front-cover-title-page-recto-insertion-f-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/peirce-the-philosophical-writings-of-peirce-1955/gallery/images/pp-inside-front-cover-title-page-recto-insertion-f-recto/iiif/full/500,/0/default.jpg"
e82af5e5-54d8-4c15-954d-7a8cb6cd7241/p-179-with-insertion-a,Martin Heidegger. Essais et conférences. p. 179 with Insertion A,https://derridas-margins.princeton.edu/titles/197/,Essais et conférences,Book,p. 179,1,,"https://derridas-margins.princeton.edu/library/heidegger-vortrage-und-aufsatze-1958/gallery/images/p-179-with-insertion-a/iiif/full/500,/0/default.jpg"
bdcf0162-d0cf-4bb6-9a08-a207117250b3/pp-122-123-insertion-a-verso,"Introduction à la métaphysique,. pp. 122-123 Insertion A",https://derridas-margins.princeton.edu/titles/115/,Introduction à la métaphysique,Book,pp. 122-123,2,verso;recto,"https://derridas-margins.princeton.edu/library/heidegger-einfuhrung-in-die-metaphysic-1958/gallery/images/pp-122-123-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/heidegger-einfuhrung-in-die-metaphysic-1958/gallery/images/pp-122-123-insertion-a-recto/iiif/full/500,/0/default.jpg"
338b5905-b576-4df1-87a6-3dbe4174295d/pp-156-157-insertion-a-verso,"Oeuvres complètes. Tome I : Les Confessions, Dialogues, Les Rêveries du promeneur solitaire, Fragments autobiographiques. pp. 156-157 Insertion A",https://derridas-margins.princeton.edu/titles/177/,"Oeuvres complètes de J.-J. Rousseau, vol. I",Book,pp. 156-157,2,verso;recto,"https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-i-1959/gallery/images/pp-156-157-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/rousseau-oeuvres-completes-tome-i-1959/gallery/images/pp-156-157-insertion-a-recto/iiif/full/500,/0/default.jpg"
85d13203-3805-4314-a20e-d2dde23d0863/pp-inside-front-cover-front-flyleaf-1-recto-insertion-e-recto,Edmund Husserl. Husserliana (Band VI) : Die Krisis der europäischen Wissenschaften und die Transzendentale Phänomenologie. pp. Inside front cover - Front flyleaf 1 recto Insertion E,https://derridas-margins.princeton.edu/titles/113/,Die Krisis der europäischen Wissenschaften und die transzendentale Phänomenologie: Eine Einleitung in die phänomenologische Philosophie,Book,pp. Inside front cover - Front flyleaf 1 recto,2,recto;verso,"https://derridas-margins.princeton.edu/library/husserl-die-krisis-der-europaischen-wissenschaften-und-die-transzendentale-phanomenologie-1954/gallery/images/pp-inside-front-cover-front-flyleaf-1-recto-insertion-e-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/husserl-die-krisis-der-europaischen-wissenschaften-und-die-transzendentale-phanomenologie-1954/gallery/images/pp-inside-front-cover-front-flyleaf-1-recto-insertion-e-verso/iiif/full/500,/0/default.jpg"
e82af5e5-54d8-4c15-954d-7a8cb6cd7241/pp-36-37-insertion-a-verso,Martin Heidegger. Essais et conférences. pp. 36-37 Insertion A,https://derridas-margins.princeton.edu/titles/197/,Essais et conférences,Book,pp. 36-37,2,verso;recto,"https://derridas-margins.princeton.edu/library/heidegger-vortrage-und-aufsatze-1958/gallery/images/pp-36-37-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/heidegger-vortrage-und-aufsatze-1958/gallery/images/pp-36-37-insertion-a-recto/iiif/full/500,/0/default.jpg"
350a6f37-633d-4950-a994-2d2afa81e723/pp-234-235-insertion-a-recto,"Marcel Mauss. Sociologie et anthropologie, précédé d'une Introduction à l'oeuvre de Marcel Mauss par Claude Lévi-Strauss. pp. 234-235 Insertion A",https://derridas-margins.princeton.edu/titles/225/,Sociologie et anthropologie,Book,pp. 234-235,2,recto;verso,"https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/pp-234-235-insertion-a-recto/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levi-strauss-sociologie-et-anthropologie-1950/gallery/images/pp-234-235-insertion-a-verso/iiif/full/500,/0/default.jpg"
19ebc010-cef0-49ea-84ca-d76a3dbbd917/pp-324-325-insertion-a-verso,Emmanuel Levinas. Difficile liberté : essais sur le judaïsme. pp. 324-325 Insertion A,https://derridas-margins.princeton.edu/titles/102/,Difficile liberté,Book,pp. 324-325,2,verso;recto,"https://derridas-margins.princeton.edu/library/levinas-difficile-liberte-essais-sur-le-judaisme-1963/gallery/images/pp-324-325-insertion-a-verso/iiif/full/500,/0/default.jpg;https://derridas-margins.princeton.edu/library/levinas-difficile-liberte-essais-sur-le-judaisme-1963/gallery/images/pp-324-325-insertion-a-recto/iiif/full/500,/0/default.jpg"
